title_URL,title,ridingarea,distance,descent,climb,DifficultyRating,Coordinates,Local_Popularity
https://www.trailforks.com/trails/w5w6/,W5-W6,Wompatuck State Park,880 ft,-2 ft,13 ft,"
                     Green rate
                ","(42.199900, -70.855290)",100
https://www.trailforks.com/trails/wachusett-trail/,Wachusett Trail,Hopkinton State Park,764 ft,,17 ft,"
                     Blue rate
                ","(42.263060, -71.520920)",90
https://www.trailforks.com/trails/wafalafel/,Wafalafel,Whipple Hill,"1,663 ft",-18 ft,49 ft,"
                     Blue rate
                ","(42.435050, -71.185400)",25
https://www.trailforks.com/trails/wagon-dr-climb/,Wagon Dr Climb,Sunset Ridge Trail Network,1 mile,-116 ft,380 ft,"
                     Blue rate
                ","(42.132710, -72.425230)",55
https://www.trailforks.com/trails/waiting-hill-bypass/,Waiting Hill Bypass,Duxbury Trail Network,205 ft,,38 ft,"
                     Blue rate
                ","(42.043170, -70.714000)",70
https://www.trailforks.com/trails/waiting-hill-trail-168663/,Waiting Hill Trail,Duxbury Trail Network,"1,024 ft",-39 ft,71 ft,"
                     Blue rate
                ","(42.042850, -70.714020)",80
https://www.trailforks.com/trails/waiting-hill-trail/,Waiting Hill Trail,Duxbury Trail Network,"4,209 ft",-78 ft,51 ft,"
                     White rate
                ","(42.046550, -70.718840)",40
https://www.trailforks.com/trails/wakeby-singletrack/,Wakeby Singletrack,Santuit Pond,"1,427 ft",-13 ft,17 ft,"
                     Blue rate
                ","(41.662270, -70.454640)",5
https://www.trailforks.com/trails/wakeby-singletrack-409721/,Wakeby Singletrack,Santuit Pond,"1,398 ft",-17 ft,10 ft,"
                     Blue rate
                ","(41.660130, -70.452170)",5
https://www.trailforks.com/trails/walden-court/,Walden Court,Rocky Woods,795 ft,-44 ft,12 ft,"
                     Blue rate
                ","(42.206610, -71.296030)",20
https://www.trailforks.com/trails/walden-granite-386509/,Walden Granite,Milford,"2,172 ft",-19 ft,26 ft,"
                     Blue rate
                ","(42.179600, -71.510460)",5
https://www.trailforks.com/trails/wales-stage-rd-connector/,Wales Stage rd Connector,Brimfield State Forest,896 ft,-11 ft,49 ft,"
                     Green rate
                ","(42.096280, -72.238620)",50
https://www.trailforks.com/trails/wales-tale/,Wales Tale,Brimfield State Forest,764 ft,,37 ft,"
                     Green rate
                ","(42.095740, -72.239540)",90
https://www.trailforks.com/trails/walk-of-shame-140490/,Walk of Shame,Orchard Hill / UMass Trails,"2,077 ft",-6 ft,108 ft,"
                     Green rate
                ","(42.396550, -72.522600)",90
https://www.trailforks.com/trails/walker-lane-connector/,Walker Lane Connector,100 Acre Woods,"1,110 ft",-30 ft,27 ft,"
                     Blue rate
                ","(42.665540, -70.985850)",55
https://www.trailforks.com/trails/walker-point-alternate/,Walker Point Alternate,West Barnstable,282 ft,-32 ft,,"
                     Black Diamond rate
                ","(41.700030, -70.419290)",30
https://www.trailforks.com/trails/walker-point-trail/,Walker Point Trail,West Barnstable Conservation Area,"3,484 ft",-57 ft,77 ft,"
                     Blue rate
                ","(41.697030, -70.411630)",80
https://www.trailforks.com/trails/walker-rd-connector/,Walker Rd Connector,Harold Parker State Forest,775 ft,-35 ft,6 ft,"
                     Blue rate
                ","(42.614830, -71.112260)",80
https://www.trailforks.com/trails/walker-trail-126241/,Walker Trail,Vietnam Trail Network,811 ft,-18 ft,18 ft,"
                     Green rate
                ","(42.193050, -71.499150)",50
https://www.trailforks.com/trails/walkin-the-dog/,Walkin the Dog,Collins Woodlot / Kettle Holes,246 ft,,,"
                     Green rate
                ","(41.604730, -70.623880)",30
https://www.trailforks.com/trails/walking-biking-path/,Walking/Biking Path,Boxford Common,"3,173 ft",-3 ft,5 ft,"
                     White rate
                ","(42.661770, -71.000940)",75
https://www.trailforks.com/trails/walkins/,Walkins,Deerfield Ridge Trail Network,1 mile,-236 ft,81 ft,"
                     Black Diamond rate
                ","(42.540090, -72.585220)",45
https://www.trailforks.com/trails/wall-garden/,Wall Garden,Noon Hill & Shattuck Reservation,105 ft,-3 ft,,"
                     Black Diamond rate
                ","(42.158240, -71.325210)",35
https://www.trailforks.com/trails/wall-loop-399357/,Wall Loop,Cutler Park,"1,142 ft",,,"
                    The Cow-lick                ","(42.274700, -71.186340)",40
https://www.trailforks.com/trails/wall-of-death-311550/,Wall of Death,Lowell-Dracut-Tyngsboro State Forest,292 ft,-7 ft,,,"(42.657980, -71.365180)",55
https://www.trailforks.com/trails/wall-run-418780/,Wall Run,Dogtown,"2,339 ft",-49 ft,57 ft,"
                     Blue rate
                ","(42.649180, -70.657900)",60
https://www.trailforks.com/trails/wall-street-155082/,Wall Street,Earl's Trails,"2,070 ft",-129 ft,34 ft,"
                     Blue rate
                ","(42.308850, -72.547990)",70
https://www.trailforks.com/trails/wall-trail-134351/,Wall Trail,Holbrook Forest,809 ft,-3 ft,16 ft,"
                     Blue rate
                ","(42.305780, -71.854770)",60
https://www.trailforks.com/trails/wall-trail-connector/,Wall Trail Connector,Holbrook Forest,165 ft,-17 ft,,"
                     Blue rate
                ","(42.304240, -71.856570)",25
https://www.trailforks.com/trails/wallace-s/,Wallace's,Ravenswood Park Area,2 miles,-208 ft,266 ft,"
                     Black Diamond rate
                ","(42.608690, -70.704870)",55
https://www.trailforks.com/trails/walleston-loop-trail/,Walleston Loop Trail,Peppercorn Hill,2 miles,-295 ft,275 ft,"
                     Blue rate
                ","(42.193410, -71.562330)",70
https://www.trailforks.com/trails/wallis-pond-loop/,Wallis Pond Loop,Douglas State Forest,1 mile,-69 ft,42 ft,"
                     Green rate
                ","(42.061030, -71.785170)",80
https://www.trailforks.com/trails/wallis-pond-trail/,Wallis Pond Trail,Douglas State Forest,1 mile,-26 ft,82 ft,"
                     Blue rate
                ","(42.069860, -71.775160)",40
https://www.trailforks.com/trails/walls-266476/,Walls,Gordon College,758 ft,-14 ft,,"
                     Blue rate
                ","(42.594300, -70.811940)",100
https://www.trailforks.com/trails/wally-world-285714/,Wally World,Medfield,659 ft,-16 ft,17 ft,"
                     Blue rate
                ","(42.179180, -71.296910)",55
https://www.trailforks.com/trails/walmart-connector-297362/,Walmart Connector,Kingston State Forest,1 mile,-66 ft,57 ft,"
                     Green rate
                ","(41.957180, -70.716590)",85
https://www.trailforks.com/trails/walpole-street-connector/,Walpole Street Connector,Noanet Woodlands,292 ft,-3 ft,,"
                     Green rate
                ","(42.224510, -71.270070)",35
https://www.trailforks.com/trails/walter-s-trail-385654/,Walter's Trail,Quashnet/Childs River Conservation Areas,449 ft,,2 ft,"
                     Green rate
                ","(41.594770, -70.507410)",60
https://www.trailforks.com/trails/walter-s-trail-385653/,Walter's Trail,Quashnet/Childs River Conservation Areas,387 ft,,,"
                     Green rate
                ","(41.593830, -70.507870)",5
https://www.trailforks.com/trails/wamoset-hill-north/,Wamoset Hill North,Middlesex Fells Reservation,436 ft,-23 ft,8 ft,"
                     Blue rate
                ","(42.459520, -71.086530)",55
